Post ID,Network,Published time (America/Toronto),Post Type,Placement,Boosted,Post text,Post URL,Impressions,Engagements,Reach,Video views,Engagement rate,label 1,label 2,label 3,label 4,label 5,label 6,label 7,label 8,label 9,label 10,label 11,label 12,label 13,label 14,label 15,label 16,label 17,label 18,label 19,label 20,label 21,label 22,label 23,label 24,label 25,label 26,label 27,label 28,label 29,label 30,label 31,label 32,label 33,label 34,label 35,label 36,label 37,label 38,label 39,label 40,label 41,label 42,label 43
7570803538918427911,TIKTOK,Nov 09,VIDEO,Timeline,Yes,"Wait, is that snow ❄️👀 ?! ",https://www.tiktok.com/@walmartcanada/video/7570803538918427911?utm_campaign=tt4d_open_api&utm_source=7055758955263295490,863,62,632,863,9.81%,Grocery,Always On,Walmart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17892761115222558,INSTAGRAM,Nov 09,VIDEO_STORY,STORY,No,-,https://instagram.com/stories/walmartcanada/3762269722302827806,5098,-,5098,-,,Grocery,Always On,Walmart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17948595194918102,INSTAGRAM,Nov 10,REELS,REELS,No,How do you pick just one? ☕️,https://www.instagram.com/reel/DQ43tvLkZRd/,17706,283,12822,-,2.21%,,Always On,Walmart,,,Gifts & Seasonal,,,,,,Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7571189791153245447,TIKTOK,Nov 10,VIDEO,Timeline,Yes,Holiday mug collection is about to be top tier 👌☕️,https://www.tiktok.com/@walmartcanada/video/7571189791153245447?utm_campaign=tt4d_open_api&utm_source=7055758955263295490,1095,61,889,1095,6.86%,,Always On,Walmart,,,Gifts & Seasonal,,,,,,Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17875526046350215,INSTAGRAM,Nov 10,VIDEO_STORY,STORY,No,-,https://instagram.com/stories/walmartcanada/3763014518545952036,5248,-,5248,-,,,Always On,Walmart,,,Gifts & Seasonal,,,,,,Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18078542582146058,INSTAGRAM,Nov 11,IMAGE_STORY,STORY,No,-,https://instagram.com/stories/walmartcanada/3763606040794445366,4181,-,4181,-,,,Always On,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7571553487880801543,TIKTOK,Nov 11,VIDEO,Timeline,Yes,Really is the definition of “unlimited”... 💚 #wicked #wickedmovie #wickedforgood ,https://www.tiktok.com/@walmartcanada/video/7571553487880801543?utm_campaign=tt4d_open_api&utm_source=7055758955263295490,1736,110,1336,1736,8.23%,,Always On,,Cossette,,,,,,,,,,,,Toys,,,,,,,,,,,,,,,,,,,,,,,,,,,
17987138474899461,INSTAGRAM,Nov 11,REELS,REELS,No,Really is the definition of “unlimited”... 💚 #wicked #wickedmovie #wickedforgood,https://www.instagram.com/reel/DQ7Zg8bkWPP/,6792,121,5194,-,2.33%,,Always On,,Cossette,,,,,,,,,,,,Toys,,,,,,,,,,,,,,,,,,,,,,,,,,,
17918117889228360,INSTAGRAM,Nov 12,REELS,REELS,No,See a gift on your list? Drop a tag for a hint 👀 #holidaygifts #giftingideas,https://www.instagram.com/reel/DQ96fYMkZ85/,9314,109,7667,-,1.42%,,Always On,,Cossette,,Gifts & Seasonal,,,,,Beauty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7571916443701300488,TIKTOK,Nov 12,VIDEO,Timeline,Yes,See a gift on your list? Drop a tag for a hint 👀 #holidaygifts #giftingideas ,https://www.tiktok.com/@walmartcanada/video/7571916443701300488?utm_campaign=tt4d_open_api&utm_source=7055758955263295490,649,42,491,649,8.55%,,Always On,,Cossette,,Gifts & Seasonal,,,,,Beauty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
