Metric​,Annual​,Feb​,Mar​,Apr​,May​,Jun​,Jul​,Aug​,Sep​,Oct​,Nov​,Dec​,Jan​,YTD Actual​,YTD Progress
CM Plan ​,1.2M​,100K​,100K​,100K​,100K​,100K​,100K​,100K​,100K​,100K​,100K​,100K​,100K​,​,​
CM Actual​,1.2M​,20K​,180K​,220K​,195k​,180k​,130k​,140k​,110k​,105k​,75k​,70K​,60k​,1.49M​,149%​
