Metric​,Annual​,Feb​,Mar​,Apr​,May​,Jun​,Jul​,Aug​,Sep​,Oct​,Nov​,Dec​,Jan​,YTD Actual​,YTD Progress
Followers Plan​,75K​,4.5K​,4.5K​,4.5K​,6K​,6K​,4.5K​,8.5K​,6.2K​,6.2K​,9.5K​,8.6K​,5.2K​,​,​
Followers Actual​,​,"4,230​","4,401​","5,005​","3,603​","3,973​","4,959​","4,359​","3,594​","5,194​","5,595​","2,645​","1,900​","49,458​",66%​
Instagram Plan​,"41,250​","2,475​","2,475​","2,475​","3,300​","3,300​","2,475​","4,675​","3,850​","3,850​","5,225​","4,675​","2,475​",​,​
IG Actual​,​,"2,827​",1903​,"1,793​","1,585​","1,906​","1,825​","1,533​","1,165​","2,164​","2,811​","1,359​",719​,"21,590​",52%​
TikTok Plan​,"33,750​","2,025​","2,025​","2,025​","2,300​","2,300​","2,025​","3,825​","3,150​","3,150​","4,275​","3,825​","2,025​",​,​
Tik Tok Actual​,​,"1,403​","2,498​","3,212​","1,759​","1,700​","2,356​","2,270​","1,214​","1,446​","1,252​",753​,825​,"20,688​",62%​
