Metric​,Annual​,Feb​,Mar​,Apr​,May​,Jun​,Jul​,Aug​,Sep​,Oct​,Nov​,Dec​,Jan​,YTD Actual​,YTD Progress
Affiliate GMV​,$10M​,$600k​,$600K​,$600K​,$800k​,$800k​,$600k​,$1.13M​,$930k​,$930k​,$1.27M​,$1.14M​,$600k​,​,​
Opt-In Sign Ups​,400​,33​,33​,33​,33​,33​,33​,33​,33​,37​,33​,33​,33​,​,​
Opt-In Sign Ups Actual​,400​,50​,50​,20​,58​,31​,12​,87​,20​,0​,97​,3​,0​,428​,107%​
