Metric​,Annual​,Feb​,Mar​,Apr​,May​,Jun​,Jul​,Aug​,Sep​,Oct​,Nov​,Dec​,Jan​,YTD Actual​,YTD Progress
Impressions Plan​,182M​,10.92M​,10.92M​,10.92M​,14.56M​,14.56M​,10.92M​,20.59M​,16.95M​,16.95M​,16.95M​,20.7M​,10.92M​,​,​
Impressions Actual​,​,"15,156,236​","30,016,523​","15,078,217​","13,366,902​","17,303,879​","13,204,184​","24,891,178​","15,248,169​","16,548,895​","20,656,829​","32,188,543​","24,997,478​",238.7M ​,131%​
Spark Squad Plan​,100M​,6M​,6M​,6M​,8M​,8M​,6M​,11.3M​,9.3M​,9.3M​,12.7M​,11.4M​,6M​,​,​
Spark Squad Actual​,100M​,"14,322,999​","13,546,350​","8,666,495​","8,609,072​","8,854,677​","9,092,837​","6,579,165​","8,855,402​","8,692,660​","12,228,155​","15,371,357​","17,125,850​",131.9M​,131.9%​
Organic Plan​,10M​,600k​,600K​,600K​,800k​,800k​,600k​,1.13M​,930k​,930k​,1.27M​,1.14M​,600k​,​,​
Organic Actual​,10M​,"304,510​","470,173​","657,011​","552,803​","1,491,465​","1,366,002​","1,040,495​","1,591,393​","1,796,870​","1,923,698​","1,607,816​","1,129,897​",13.9M​,139%​
Opt-In Plan​,72M​,4.32M​,4.32M​,4.32M​,5.76M​,5.76M​,4.32M​,8.16M​,6.72M​,6.72M​,9.12M​,8.16M​,4.32M​,​,​
Opt-In Actual​,72M​,"528,727​","16,000,000​","5,754,711​","4,205,027​","6,957,737​","2,745,345​","5,183,386​","4,801,374​","6,059,365​","6,504,976​","15,209,370​","6,741,731​",65M​,90.29%​
