Metric​,Annual​,Feb​,Mar​,Apr​,May​,Jun​,Jul​,Aug​,Sep​,Oct​,Nov​,Dec​,Jan​,YTD Actual​,YTD Progress
Followers Plan​,"60,000​","3,600​","3,600​","3,600​","4,480​","4,480​","3,600​","6,940​","5,680​","5,680​","7,680​","7,040​","3,620​",​,​
Followers Actual​,​,"6,413​",​,​,​,​,​,​,​,​,​,​,​,"6,413​",11%​
Facebook Actual,-​,"1,453​",​,​,​,​,​,​,​,​,​,​,​,,
Instagram Plan​,"33,000​","1,980​","1,980​","1,980​","2,640​","2,640​","1,980​","3,740​","3,080​","3,080​","4,180​","3,740​","1,980​",​,​
IG Actual​,​,"3,874​",​,​,​,​,​,​,​,​,​,​,​,"3,874​",12%​
TikTok Plan​,"27,000​","1,620​","1,620​","1,620​","1,840​","1,840​","1,620​","3,200​","2,600​","2,600​","3,500​","3,300​","1,640​",​,​
Tik Tok Actual​,​,"1,086​",​,​,​,​,​,​,​,​,​,​,​,"1,068​",4%​
