Metric​,Annual​,Feb​,Mar​,Apr​,May​,Jun​,Jul​,Aug​,Sep​,Oct​,Nov​,Dec​,Jan​,YTD Actual​,YTD Progress
Impressions Plan​,263.8M​,21.6M​,19.8M​,19.6M​,20.2M​,22.4M​,20.2M​,19.99M​,23.6M​,19.7M​,25.9M​,28.71M​,21.9M​,​,​
Impressions Actual​,​,"24,309,219​",​,​,​,​,​,​,​,​,​,​,​,"24,309,219​",9%​
Spark Squad Plan​,172M​,14.3M​,14.3M​,14.1M​,15M​,14.2M​,14.3M​,14.3M​,14.2M​,14.3M​,13M​,14M​,16M​,​,​
Spark Squad Actual​,​,"15,596,124​",​,​,​,​,​,​,​,​,​,​,​,"15,596,124​",9%​
Organic Plan​,15M​,900K​,900K​,900K​,1.2M​,1.2M​,900K​,1.69M​,1.4M​,1.4M​,1.9M​,1.71M​,900k​,​,​
Organic Actual​,​,"1,656,284​",​,​,​,​,​,​,​,​,​,​,​,"1,656,284​",11%​
Opt-In Plan​,76.8M​,6.4M​,4.6M​,4M​,4M​,7M​,5M​,4M​,8M​,4M​,11M​,13M​,5M​,​,​
Opt-In Actual​,​,"7,056,811​",​,​,​,​,​,​,​,​,​,​,​,"7,056,811​",9%​
