Metric​,Annual​,Feb​,Mar​,Apr​,May​,Jun​,Jul​,Aug​,Sep​,Oct​,Nov​,Dec​,Jan​,YTD Actual​,YTD Progress
Organic Negative Sentiment Plan​,10%​,10%​,10%​,10%​,10%​,10%​,10%​,10%​,10%​,10%​,10%​,10%​,10%​,​,​
Organic Negative Sentiment Actual,​,3%​,​,​,​,​,​,​,​,​,​,​,​,,
Paid Negative Sentiment Plan​,10%​,10%​,10%​,10%​,10%​,10%​,10%​,10%​,10%​,10%​,10%​,10%​,10%​,,
Paid Negative Sentiment Actual​,​,8%​,​,​,​,​,​,​,​,​,​,​,​,,
