Metric​,Annual​,Feb​,Mar​,Apr​,May​,Jun​,Jul​,Aug​,Sep​,Oct​,Nov​,Dec​,Jan​,YTD Actual​,YTD Progress
CM Plan ​,1.2M​,110K​,110K​,110K​,110K​,110K​,110K​,110K​,110K​,110K​,110K​,110K​,110K​,​,​
CM Actual​,,100k,,,,,,,,,,,,100k,8%
