Metric​,Annual​,Feb​,Mar​,Apr​,May​,Jun​,Jul​,Aug​,Sep​,Oct​,Nov​,Dec​,Jan​,YTD Actual​,YTD Progress
Affiliate GMV​,$10M​,,,,,,,,,,,,,,
Opt-In Sign Ups​,600​,50​,50​,50​,50​,50​,50​,50​,50​,50​,50​,50​,50​,​,​
Opt-In Sign Ups Actual​,600​,67​,​,​,​,​,​,​,​,​,​,​,​,67​,11%​
